Dist,Type,SubType,Xeq,Yeq,Xgal,Ygal,title,source,date,link,headline,img
"MW","Nebula","PN",-269.635479,66.323736,-96.111018,29.957634,"Chandra Reveals The X-Ray Glint In The Cat's Eye","NGC 6543",2001-01-08,"http://chandra.harvard.edu/photo/2001/1220/","A 'planetary nebula,' also known as the Cat's Eye.","http://chandra.harvard.edu/photo/2001/1220/1220_xray_opt_side_250.jpg"
"MW","Nebula","SNR",-272.871023,-19.4229804,-11.182249,-0.346616,"Chandra Associates Pulsar and Historic Supernova","G11.2-0.3",2001-01-10,"http://chandra.harvard.edu/photo/2001/1227/","A supernova remnant with a central pulsar, located in the constellation of Sagittarius.","http://chandra.harvard.edu/photo/2001/1227/1227_xray_420.jpg"
"MW","Nebula","ISM",-281.007708,-4.070315,-28.465781,-0.210825,"Astronomers Go Behind The Milky Way To Solve X-Ray Mystery","Galactic Plane",2001-08-09,"http://chandra.harvard.edu/photo/2001/1238/","A portion of the plane of the Milky Way Galaxy in the constellation Scutum.","http://chandra.harvard.edu/photo/2001/1238/1238_xray_420.jpg"
"MW","Nebula","PN",-316.757055,42.2359696,-84.929822,-3.496477,"X-ray View of a Young Planetary Nebula","NGC 7027",2001-06-13,"http://chandra.harvard.edu/photo/2001/1252/","This image of NGC 7027 represents the first detection of X-rays from this young planetary nebula.","http://chandra.harvard.edu/photo/2001/1252/1252_xray_420.jpg"
"MW","Nebula","SF",-98.276792,4.6756584,-206.678849,-1.931339,"Scientists Find X Rays from Stellar Winds That May Play Significant Role in Galactic Evolution","Rosette Nebula",2001-09-06,"http://chandra.harvard.edu/photo/2001/2237/","This series of Chandra images shows a mosaic of the Rosette Nebula region.","http://chandra.harvard.edu/photo/2001/2237/2237_xray_420.jpg"
"EU","Galaxy","SF",-211.683228,34.1903186,-61.133573,72.371397,"Chandra Finds Most Distant X-ray Galaxy Cluster","3C294",2001-02-15,"http://chandra.harvard.edu/photo/2001/3c294/","A cluster of galaxies some 10 billion light years from Earth.","http://chandra.harvard.edu/photo/2001/3c294/3c294_xray_420.jpg"
"MW","Star","SF",-266.459627,-28.8213141,-0.122967,0.018985,"Star Factory Near Galactic Center Bathed In High-Energy X-Rays","Arches Cluster",2001-06-06,"http://chandra.harvard.edu/photo/2001/arches/","This composite image shows an envelope of 60-million-degree gas around a young cluster of stars, known as the Arches cluster.","http://chandra.harvard.edu/photo/2001/arches/arches_xray_ir_radio_420.jpg"
"LU","Cosmology","SF",-189.198574,62.2173927,-125.893475,54.826573,"Chandra Deep Field-North","Chandra Deep Field-North",2001-03-13,"http://chandra.harvard.edu/photo/2001/cdfn/","Chandra's extremely deep image provides a crucial view of one of the most intensively studied patches of the night sky","http://chandra.harvard.edu/photo/2001/cdfn/hdfn_xray_ids_420.jpg"
"LU","Cosmology","SF",-53.113923,-27.8172681,-223.587736,-54.441159,"Deepest X-Rays Ever Reveal universe Teeming With Black Holes","Chandra Deep Field South",2001-03-13,"http://chandra.harvard.edu/photo/2001/cdfs/","This Chandra image shows that gigantic black holes were much more active in the past than the present.","http://chandra.harvard.edu/photo/2001/cdfs/cdfs_xray_420.jpg"
"EU","Galaxy","SF",-328.401247,17.6924212,-73.956432,-27.814893,"Astronomers Take the Measure of Dark Matter in universe","Abell 2390",2001-09-06,"http://chandra.harvard.edu/photo/2001/clusters/","X-ray/Optical sets of images of two galaxy clusters located 2.5 and 3.1 billion light years from Earth respectively.","http://chandra.harvard.edu/photo/2001/clusters/cluster_montage_420.jpg"
"LU","Galaxy","SF",-193.273630,-9.2039268,-303.621922,53.665604,"Chandra Captures Remarkable Image of Galaxy Group","HCG 62",2001-03-05,"http://chandra.harvard.edu/photo/2001/hcg62/","A new Chandra image shows remarkable detail and complexity in the central region of a compact galaxy.","http://chandra.harvard.edu/photo/2001/hcg62/hcg62_xray_420.jpg"
"MW","Star","SF",-84.106185,-6.7872422,-210.472427,-19.755680,"Shocking Outflow from a Young Star","HH2",2001-10-18,"http://chandra.harvard.edu/photo/2001/hh2/","A type of celestial object that has long stumped astronomers has been found to emit X-rays, thus proving a theory of how the objects form.","http://chandra.harvard.edu/photo/2001/hh2/hh2_comp_250.jpg"
"MW","Star","NS",-263.554239,-26.0928058,-1.068465,3.651630,"A Cool Neutron Star in the Constellation Ophiuchus","KS 1731-260",2001-09-06,"http://chandra.harvard.edu/photo/2001/ks1731/","Chandra's observation in March of 2001 of the neutron star KS 1731-260 showed that it is a remarkably 'cool' 3 million degrees Celsius.","http://chandra.harvard.edu/photo/2001/ks1731/ks1731_xray_420.jpg"
"MW","Star","NS",-322.492868,12.1675401,-65.012977,-27.312151,"Two X-ray Binary Systems in the Globular Cluster M15","M15",2001-09-06,"http://chandra.harvard.edu/photo/2001/m15/","Chandra's image of a X-ray source in the globular star cluster M15 shows that it is not one neutron star binary system, but two neutron star binary systems.","http://chandra.harvard.edu/photo/2001/m15/m15_xray_420.jpg"
"MW","Nebula","SF",-83.801670,-5.3922189,-209.005042,-19.400229,"Chandra's High-Resolution Camera Reveals A Twinkling Orion Nebular Cluster","Orion Nebula Cluster",2001-01-08,"http://chandra.harvard.edu/photo/2001/orion_mov/","Time-lapse movie, made from hours of Chandra observations.","http://chandra.harvard.edu/photo/2001/orion_mov/orion_mov_420.jpg"
"MW","Star","BH",-266.416280,-29.0079313,-359.943894,-0.045812,"Scientists Discover Supernova May Control Activity in the Center of Our Galaxy","Sagittarius A East",2001-02-01,"http://chandra.harvard.edu/photo/2001/sgr_a/","Supernova remnant Sagittarius A East.","http://chandra.harvard.edu/photo/2001/sgr_a/sgr_a_xray_420.jpg"
"MW","Star","BH",-290.770800,4.9561,-40.973626,-4.740710,"Chandra Discovers Eruption and Pulsation in Nova Outburst","Nova Aquilae",2001-09-06,"http://chandra.harvard.edu/photo/2001/v1494aql/","The artist's illustration depicts a classical nova binary system just before an explosion on the surface of the white dwarf.","http://chandra.harvard.edu/photo/2001/v1494aql/aquilae_illustration_bl_420.jpg"
"MW","Star","NS",-128.825143,-45.1935034,-263.561043,-2.803640,"Wide-Angle View Of Vela Pulsar","Vela Pulsar (Wide-Field View)",2001-07-02,"http://chandra.harvard.edu/photo/2001/velawv/","Wide-Field View of Vela Pulsar and its pulsar wind nebula.","http://chandra.harvard.edu/photo/2001/velawv/velawv_xray_420.jpg"
"MW","Star","BH",-169.549124,48.0362949,-157.657841,62.322898,"Chandra Pinpoints Edge Of Accretion Disk Around Black Hole","XTE J1118+480",2007-12-05,"http://chandra.harvard.edu/photo/2001/xtej1118/","This Chandra X-ray Observatory image is a spectrum of a black hole, which is similar to the colorful spectrum of sunlight produced by a prism.","http://chandra.harvard.edu/photo/2001/xtej1118/xtej1118_xray_420.jpg"
"MW","Nebula","SNR",-6.330190,64.1423256,-120.088380,1.414865,"Chandra's View of Tycho's Supernova Remnant","Tycho's Supernova Remnant",2002-09-06,"http://chandra.harvard.edu/photo/2002/0005/","The remains of a supernova about 7,500 light years from Earth.","http://chandra.harvard.edu/photo/2002/0005/0005_xray_420.jpg"
"LU","Galaxy","Normal",-28.252341,-13.7383808,-173.019143,-70.356925,"Chandra Casts Cloud On Alternative To Dark Matter","NGC 720",2002-10-22,"http://chandra.harvard.edu/photo/2002/0021/","An elliptical galaxy located about 80 million light years from Earth in the Constellation Cetus.","http://chandra.harvard.edu/photo/2002/0021/0021_xray_dssopt_comp_250.jpg"
"LU","Nebula","SNR",-81.268042,-69.6403072,-280.301819,-32.781682,"Glowing Remnant from a Star-Shattering Explosion","N132D",2002-05-22,"http://chandra.harvard.edu/photo/2002/0050/","A supernova remnant located in the Large Magellanic Cloud about 160,000 light years from Earth.","http://chandra.harvard.edu/photo/2002/0050/0050_xray_420.jpg"
"MW","Star","NS",-83.631601,22.0162599,-184.555218,-5.784579,"Space Movie Reveals Shocking Secrets of the Crab Pulsar","Crab Nebula",2002-09-19,"http://chandra.harvard.edu/photo/2002/0052/","The remnant of a supernova located 6000 light years from Earth in the constellation Taurus.","http://chandra.harvard.edu/photo/2002/0052/0052_xray_420.jpg"
"LU","Star","NS",-84.435771,-69.1347171,-279.516305,-31.753254,"A Drama of Star Formation and Evolution","Tarantula Nebula",2002-04-23,"http://chandra.harvard.edu/photo/2002/0057/","Tarantula Nebula gives scientists a close-up view of the drama of star formation and evolution.","http://chandra.harvard.edu/photo/2002/0057/0057_xray_250.jpg"
